tensor(0.0233, device='cuda:0')
tensor(0.0474, device='cuda:0')
tensor(0.0235, device='cuda:0')
tensor(0.0291, device='cuda:0')
tensor(0.0258, device='cuda:0')
tensor(-0.0810, device='cuda:0')
tensor(0.0308, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.0127, device='cuda:0')
tensor(0.0327, device='cuda:0')
tensor(0.0303, device='cuda:0')
tensor(0.0396, device='cuda:0')
tensor(0.0249, device='cuda:0')
tensor(0.0347, device='cuda:0')
tensor(0.0226, device='cuda:0')
tensor(0.0267, device='cuda:0')
tensor(0.0349, device='cuda:0')
tensor(0.0399, device='cuda:0')
tensor(-0.0773, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.0218, device='cuda:0')
tensor(0.0239, device='cuda:0')
tensor(0.0271, device='cuda:0')
tensor(0.0376, device='cuda:0')
tensor(0.0290, device='cuda:0')
tensor(0.0385, device='cuda:0')
tensor(0.0235, device='cuda:0')
tensor(0.0286, device='cuda:0')
tensor(0.0295, device='cuda:0')
tensor(0.0288, device='cuda:0')
tensor(0.0291, device='cuda:0')
tensor(-0.0220, device='cuda:0')
tensor(0.0151, device='cuda:0')
tensor(0.0287, device='cuda:0')
tensor(0.0264, device='cuda:0')
tensor(0.0121, device='cuda:0')
tensor(0.0350, device='cuda:0')
tensor(0.0477, device='cuda:0')
tensor(0.0307, device='cuda:0')
tensor(0.0335, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.0269, device='cuda:0')
tensor(0.0296, device='cuda:0')
tensor(0.0191, device='cuda:0')
tensor(-0.0229, device='cuda:0')
tensor(0.0315, device='cuda:0')
tensor(0.0174, device='cuda:0')
tensor(0.0244, device='cuda:0')
tensor(0.0263, device='cuda:0')
tensor(0.0177, device='cuda:0')
tensor(0.0280, device='cuda:0')
tensor(0.0397, device='cuda:0')
tensor(0.0407, device='cuda:0')
tensor(0.0293, device='cuda:0')
tensor(0.0455, device='cuda:0')
tensor(0.0166, device='cuda:0')
tensor(0.0274, device='cuda:0')
tensor(-0.2331, device='cuda:0')
tensor(0.0207, device='cuda:0')
tensor(0.0042, device='cuda:0')
tensor(0.0232, device='cuda:0')
tensor(0.0112, device='cuda:0')
tensor(0.0202, device='cuda:0')
tensor(0.0306, device='cuda:0')
tensor(0.0220, device='cuda:0')
tensor(0.0307, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0170, device='cuda:0')
tensor(0.0268, device='cuda:0')
tensor(0.0090, device='cuda:0')
tensor(-0.2609, device='cuda:0')
tensor(0.0144, device='cuda:0')
tensor(0.0204, device='cuda:0')
tensor(0.0303, device='cuda:0')
tensor(0.0259, device='cuda:0')
tensor(0.0322, device='cuda:0')
tensor(0.0193, device='cuda:0')
tensor(0.0141, device='cuda:0')
tensor(0.0356, device='cuda:0')
tensor(0.0294, device='cuda:0')
tensor(0.0204, device='cuda:0')
tensor(0.0244, device='cuda:0')
tensor(0.0124, device='cuda:0')
tensor(-0.2696, device='cuda:0')
tensor(0.0153, device='cuda:0')
tensor(0.0279, device='cuda:0')
tensor(0.0153, device='cuda:0')
tensor(0.0071, device='cuda:0')
tensor(0.0227, device='cuda:0')
tensor(0.0392, device='cuda:0')
tensor(0.0356, device='cuda:0')
tensor(0.0306, device='cuda:0')
tensor(0.0183, device='cuda:0')
tensor(0.0407, device='cuda:0')
tensor(0.0194, device='cuda:0')
tensor(0.0421, device='cuda:0')
tensor(-0.2521, device='cuda:0')
tensor(0.0268, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0195, device='cuda:0')
tensor(0.0299, device='cuda:0')
tensor(0.0106, device='cuda:0')
tensor(0.0259, device='cuda:0')
tensor(0.0229, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.0478, device='cuda:0')
tensor(0.0176, device='cuda:0')
tensor(0.0401, device='cuda:0')
tensor(0.0303, device='cuda:0')
tensor(-0.2661, device='cuda:0')
tensor(0.0131, device='cuda:0')
tensor(0.0107, device='cuda:0')
tensor(0.0190, device='cuda:0')
tensor(0.0233, device='cuda:0')
tensor(0.0211, device='cuda:0')
tensor(0.0257, device='cuda:0')
tensor(0.0250, device='cuda:0')
tensor(0.0377, device='cuda:0')
tensor(0.0270, device='cuda:0')
tensor(0.0136, device='cuda:0')
tensor(0.0140, device='cuda:0')
tensor(0.0342, device='cuda:0')
tensor(-0.2223, device='cuda:0')
tensor(0.0259, device='cuda:0')
tensor(0.0166, device='cuda:0')
tensor(0.0242, device='cuda:0')
tensor(0.0315, device='cuda:0')
tensor(0.0193, device='cuda:0')
tensor(0.0150, device='cuda:0')
tensor(0.0212, device='cuda:0')
tensor(0.0357, device='cuda:0')
tensor(0.0325, device='cuda:0')
tensor(0.0265, device='cuda:0')
tensor(0.0413, device='cuda:0')
tensor(0.0237, device='cuda:0')
tensor(-0.2517, device='cuda:0')
tensor(0.0168, device='cuda:0')
tensor(0.0115, device='cuda:0')
tensor(0.0340, device='cuda:0')
tensor(0.0137, device='cuda:0')
tensor(0.0193, device='cuda:0')
tensor(0.0300, device='cuda:0')
tensor(0.0233, device='cuda:0')
tensor(0.0346, device='cuda:0')
tensor(0.0314, device='cuda:0')
tensor(0.0269, device='cuda:0')
tensor(0.0269, device='cuda:0')
tensor(0.0300, device='cuda:0')
tensor(-0.2028, device='cuda:0')
tensor(0.0146, device='cuda:0')
tensor(0.0376, device='cuda:0')
tensor(0.0318, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.0109, device='cuda:0')
tensor(0.0278, device='cuda:0')
tensor(0.0172, device='cuda:0')
tensor(0.0291, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.0179, device='cuda:0')
tensor(0.0201, device='cuda:0')
tensor(0.0251, device='cuda:0')
tensor(-0.2340, device='cuda:0')
tensor(0.0379, device='cuda:0')
tensor(0.0227, device='cuda:0')
tensor(0.0221, device='cuda:0')
tensor(0.0207, device='cuda:0')
tensor(0.0214, device='cuda:0')
tensor(0.0222, device='cuda:0')
tensor(0.0050, device='cuda:0')
tensor(0.0242, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.0145, device='cuda:0')
tensor(0.0130, device='cuda:0')
tensor(0.0296, device='cuda:0')
tensor(-0.2647, device='cuda:0')
tensor(0.0207, device='cuda:0')
tensor(0.0179, device='cuda:0')
tensor(0.0218, device='cuda:0')
tensor(0.0289, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0325, device='cuda:0')
tensor(0.0177, device='cuda:0')
tensor(0.0347, device='cuda:0')
tensor(0.0319, device='cuda:0')
tensor(0.0300, device='cuda:0')
tensor(0.0097, device='cuda:0')
tensor(0.0266, device='cuda:0')
tensor(-0.2473, device='cuda:0')
tensor(-0.0082, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.0250, device='cuda:0')
tensor(0.0145, device='cuda:0')
tensor(0.0153, device='cuda:0')
tensor(0.0148, device='cuda:0')
tensor(0.0332, device='cuda:0')
tensor(0.0329, device='cuda:0')
tensor(0.0252, device='cuda:0')
tensor(0.0160, device='cuda:0')
tensor(0.0150, device='cuda:0')
tensor(0.0064, device='cuda:0')
tensor(-0.2711, device='cuda:0')
tensor(0.0156, device='cuda:0')
tensor(-0.0028, device='cuda:0')
tensor(0.0159, device='cuda:0')
tensor(0.0178, device='cuda:0')
tensor(0.0418, device='cuda:0')
tensor(0.0257, device='cuda:0')
tensor(0.0162, device='cuda:0')
tensor(0.0325, device='cuda:0')
tensor(0.0320, device='cuda:0')
tensor(0.0329, device='cuda:0')
tensor(0.0219, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.0257, device='cuda:0')
tensor(0.0019, device='cuda:0')
tensor(0.0126, device='cuda:0')
tensor(0.0234, device='cuda:0')
tensor(0.0172, device='cuda:0')
tensor(0.0163, device='cuda:0')
tensor(0.0250, device='cuda:0')
tensor(1.7205e-05, device='cuda:0')
tensor(0.0264, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.0295, device='cuda:0')
tensor(0.0330, device='cuda:0')
tensor(0.0316, device='cuda:0')
tensor(-0.2482, device='cuda:0')
tensor(0.0200, device='cuda:0')
tensor(0.0275, device='cuda:0')
tensor(0.0258, device='cuda:0')
tensor(0.0332, device='cuda:0')
tensor(0.0219, device='cuda:0')
tensor(0.0307, device='cuda:0')
tensor(0.0278, device='cuda:0')
tensor(0.0371, device='cuda:0')
tensor(0.0237, device='cuda:0')
tensor(0.0170, device='cuda:0')
tensor(0.0156, device='cuda:0')
